Student Number;BES 220 (S2);BSS 310 (S1);CHM 171 (S1);CHM 172 (S2);CIL 111 (S1);CIL 121 (S2);EBN 111 (S1);EBN 122 (S2);EIR 221 (S2);FSK 116 (S1);FSK 176 (S2);IPI 410 (S1);JCP 203 (Y);JPO 110 (S1);JPO 112 (S1);JPO 113 (S1);JPO 116 (S1);JPO 120 (S2);JPO 125 (S2);JPO 126 (S2);MGC 110 (S1);MIA 320 (S2);MJJ 210 (S1);MOW 217 (S1);MPR 213 (S1);MSD 210 (S1);MTV 310 (S1);MTX 221 (S2);NMC 113 (S1);NMC 123 (S2);SNV 111 (S1);SNV 121 (S2);SWK 122 (S2);SWK 210 (S1);WTW 158 (S1);WTW 161 (S2);WTW 168 (S2);WTW 238 (S2);WTW 256 (S1);WTW 258 (S1);WTW 263 (S2);Target
11011255;63.0;74.0;NA;63.0;NA;82.0;66.0;NA;73.0;80.0;NA;79.0;92.0;NA;NA;NA;NA;NA;NA;NA;84.0;77.0;87.0;74.0;66.0;61.0;68.0;75.0;NA;58.0;88.0;85.0;63.0;NA;87.0;80.0;66.0;64.0;50.0;58.0;67.0;Graduated_0
11011280;50.0;51.0;46.0;NA;NA;72.0;NA;50.0;NA;NA;52.0;63.0;81.0;NA;NA;NA;NA;NA;NA;NA;62.0;71.0;NA;NA;50.0;57.0;53.0;52.0;37.0;NA;56.0;78.0;59.0;50.0;56.0;64.0;51.0;40.0;57.0;63.0;59.0;Graduated_0
11011298;50.0;61.0;NA;41.0;NA;NA;36.0;50.0;NA;50.0;NA;64.0;90.0;69.0;53.0;63.0;60.0;62.0;53.0;59.0;60.0;73.0;NA;NA;NA;50.0;NA;NA;NA;40.0;NA;NA;43.0;NA;50.0;50.0;37.0;30.0;52.0;40.0;50.0;Graduated_3
11011352;56.0;65.0;50.0;NA;NA;78.0;75.0;47.0;51.0;NA;60.0;61.0;96.0;NA;NA;NA;NA;NA;NA;NA;54.0;70.0;NA;NA;NA;50.0;NA;NA;52.0;NA;NA;NA;NA;NA;72.0;55.0;41.0;40.0;60.0;55.0;50.0;Graduated_1
11011638;50.0;65.0;35.0;NA;72.0;84.0;NA;53.0;64.0;NA;54.0;58.0;77.0;NA;NA;NA;NA;NA;NA;NA;63.0;74.0;72.0;64.0;68.0;50.0;67.0;72.0;37.0;NA;56.0;69.0;59.0;NA;50.0;62.0;37.0;68.0;54.0;54.0;55.0;Graduated_1
11011883;50.0;68.0;53.0;44.0;NA;67.0;30.0;NA;NA;50.0;NA;62.0;73.0;NA;NA;NA;NA;NA;NA;NA;50.0;69.0;NA;58.0;58.0;50.0;NA;50.0;50.0;0.0;67.0;66.0;53.0;NA;61.0;50.0;40.0;56.0;52.0;40.0;61.0;Graduated_1
11012375;50.0;54.0;52.0;NA;NA;82.0;NA;58.0;NA;NA;63.0;50.0;91.0;NA;NA;NA;NA;NA;NA;NA;75.0;71.0;NA;NA;NA;56.0;NA;NA;53.0;NA;60.0;68.0;50.0;NA;55.0;60.0;51.0;54.0;54.0;50.0;64.0;Graduated_1
11013258;71.0;60.0;NA;62.0;81.0;69.0;60.0;NA;68.0;59.0;NA;55.0;87.0;NA;NA;NA;NA;NA;NA;NA;61.0;72.0;86.0;61.0;69.0;72.0;73.0;79.0;NA;50.0;79.0;74.0;50.0;NA;68.0;71.0;59.0;66.0;58.0;63.0;67.0;Graduated_0
11013347;70.0;54.0;70.0;NA;NA;81.0;NA;53.0;NA;59.0;NA;NA;94.0;NA;NA;NA;NA;NA;NA;NA;50.0;NA;NA;NA;59.0;NA;NA;NA;NA;NA;77.0;70.0;NA;52.0;64.0;70.0;61.0;66.0;50.0;50.0;69.0;Graduated (T)
11013402;NA;NA;50.0;NA;80.0;75.0;NA;41.0;NA;NA;50.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;55.0;NA;NA;NA;NA;NA;NA;NA;31.0;NA;61.0;81.0;NA;NA;40.0;60.0;41.0;NA;NA;NA;NA;Graduated (T)
